load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:19:14
Time of Flight..., 14:19:14
 success!, 14:19:14
Load Cell... success!, 14:19:14
Sensors initiated!, 14:19:14
-67161, 944.69, 14:19:15
-72105, 944.02, 14:19:16
-72561, 943.78, 14:19:17
-72525, 944.57, 14:19:18
-71829, 943.94, 14:19:19
-70953, 939.92, 14:19:20
-72545, 240.83, 14:19:21
-72061, 195.24, 14:19:22
-72159, 181.26, 14:19:23
-72573, 178.58, 14:19:24
-70243, 175.43, 14:19:25
-71365, 172.40, 14:19:26
-166119, 168.19, 14:19:27
-187721, 813.78, 14:19:28
-187879, 941.14, 14:19:29
-187849, 942.13, 14:19:30
-187715, 941.42, 14:19:31
-188345, 940.63, 14:19:32
-187801, 942.09, 14:19:33
-187819, 941.18, 14:19:34
-187639, 938.58, 14:19:35
-187929, 942.48, 14:19:36

load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:25:25
Time of Flight..., 14:25:25
 success!, 14:25:25
Load Cell... success!, 14:25:25
Sensors initiated!, 14:25:25
-168413, 98.43, 14:25:26
-185191, 98.70, 14:25:27
-185783, 98.82, 14:25:28
-186051, 98.82, 14:25:29
-185799, 98.50, 14:25:30
-185917, 98.78, 14:25:31
-185697, 98.54, 14:25:32
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:33:38
Time of Flight..., 14:33:38
 success!, 14:33:38
Load Cell... success!, 14:33:38
Sensors initiated!, 14:33:38
-59685, 99.88, 14:33:39
-62843, 100.00, 14:33:40
-62009, 99.80, 14:33:41
-62389, 99.96, 14:33:42
-63423, 100.08, 14:33:43
-63327, 100.00, 14:33:44
-63373, 99.96, 14:33:45
-62611, 99.96, 14:33:46
-62521, 99.96, 14:33:47
-63295, 100.28, 14:33:48
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:34:10
Time of Flight..., 14:34:10
 success!, 14:34:10
Load Cell... success!, 14:34:10
Sensors initiated!, 14:34:10
-64217, 100.39, 14:34:11
-68473, 100.39, 14:34:12
-68177, 100.39, 14:34:13
-68019, 100.39, 14:34:14
-68283, 100.39, 14:34:15
-68755, 100.39, 14:34:16
-68455, 100.39, 14:34:17
-68461, 100.39, 14:34:18
-68447, 100.39, 14:34:19
-68893, 100.39, 14:34:20
-68825, 100.39, 14:34:21
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:35:04
Time of Flight..., 14:35:04
 failed to begin. Please check wiring. Freezing..., 14:35:04
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:35:23
Time of Flight..., 14:35:23
 failed to begin. Please check wiring. Freezing..., 14:35:23
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:36:07
Time of Flight..., 14:36:07
 failed to begin. Please check wiring. Freezing..., 14:36:07
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:36:39
Time of Flight..., 14:36:39
 failed to begin. Please check wiring. Freezing..., 14:36:39
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:37:49
Time of Flight..., 14:37:49
 success!, 14:37:49
Load Cell... success!, 14:37:49
Sensors initiated!, 14:37:49
-166229, 804.49, 14:37:50
-183519, 804.17, 14:37:51
-182717, 804.06, 14:37:52
-183241, 804.76, 14:37:53
-183649, 805.87, 14:37:54
-183611, 805.71, 14:37:55
-183611, 804.88, 14:37:56
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:39:10
Time of Flight..., 14:39:10
 success!, 14:39:10
Load Cell... success!, 14:39:10
Sensors initiated!, 14:39:10
-169447, 805.20, 14:39:11
-186529, 805.43, 14:39:12
-185631, 806.14, 14:39:13
-186401, 803.74, 14:39:14
-186159, 804.57, 14:39:15
-186247, 805.00, 14:39:16
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:41:56
Time of Flight..., 14:41:56
 success!, 14:41:56
Load Cell... success!, 14:41:56
Sensors initiated!, 14:41:56
-170245, 807.28, 14:41:57
-187085, 806.42, 14:41:58
-186837, 804.92, 14:41:59
-187191, 806.57, 14:42:00
-186609, 806.81, 14:42:01
-186181, 805.51, 14:42:02
-187151, 804.49, 14:42:03
-186815, 807.24, 14:42:04
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:42:50
Time of Flight..., 14:42:50
 success!, 14:42:50
Load Cell... success!, 14:42:50
Sensors initiated!, 14:42:50
-63593, 804.61, 14:42:51
-68751, 805.83, 14:42:52
-68759, 804.92, 14:42:53
-69017, 806.73, 14:42:54
-68919, 804.61, 14:42:55
-69587, 805.20, 14:42:56
-69351, 806.50, 14:42:57
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:43:27
Time of Flight..., 14:43:28
 success!, 14:43:28
Load Cell... success!, 14:43:28
Sensors initiated!, 14:43:28
-63441, 805.79, 14:43:29
-68425, 803.74, 14:43:30
-68699, 807.48, 14:43:31
-68249, 806.02, 14:43:32
-67817, 805.47, 14:43:33
-68257, 805.79, 14:43:34
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:43:50
Time of Flight..., 14:43:50
 success!, 14:43:51
Load Cell... success!, 14:43:51
Sensors initiated!, 14:43:51
-165821, 805.67, 14:43:52
-181197, 804.96, 14:43:53
-179521, 805.43, 14:43:54
-181037, 805.71, 14:43:55
-181259, 804.09, 14:43:56
-180541, 805.35, 14:43:57
-180593, 804.57, 14:43:58
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:44:46
Time of Flight..., 14:44:46
 success!, 14:44:46
Load Cell... success!, 14:44:46
